,sas(bert),sas(top_tfidf),sas(top_bow),sas(w2v_weighted),sas(w2v_sif),jaccard(bert),jaccard(top_tfidf),jaccard(top_bow),jaccard(w2v_weighted),jaccard(w2v_sif)
15,0.11904761904761904,-0.023809523809523808,0.6904761904761905,0.6904761904761905,0.8333333333333334,0.04779406043818414,0.047985580541430144,0.048024961710867106,0.04806158876066809,0.048165922130188
16,-0.023809523809523808,-0.023809523809523808,0.11904761904761904,0.8333333333333334,0.8333333333333334,0.04807006260216437,0.047979474859760236,0.0478975108130518,0.04848675393746786,0.04861302606398388
17,-0.16666666666666666,-0.023809523809523808,0.11904761904761904,0.8333333333333334,0.8333333333333334,0.04770421454453973,0.04802164934550462,0.0479547649599359,0.048427680929052384,0.04832060897894526
18,0.11904761904761904,-0.023809523809523808,0.11904761904761904,0.40476190476190477,0.8333333333333334,0.04808535741767869,0.047981071431500114,0.047971256005941376,0.04838121134975858,0.0483984074587058
19,-0.023809523809523808,-0.16666666666666666,0.11904761904761904,0.6904761904761905,0.8333333333333334,0.04784424463264137,0.048006715493051175,0.04798599673063942,0.04854887963110301,0.04841410424083159
20,-0.16666666666666666,-0.023809523809523808,0.6904761904761905,0.6904761904761905,0.26190476190476186,0.0477727724770287,0.048098622696555876,0.04831217547866299,0.04804794374567773,0.04853451032560121
21,0.26190476190476186,-0.023809523809523808,-0.023809523809523808,0.6904761904761905,0.26190476190476186,0.048000720253122436,0.047976727134738044,0.048111743882059584,0.04841126653205484,0.04851985585363775
22,-0.023809523809523808,-0.023809523809523808,0.11904761904761904,0.6904761904761905,0.6904761904761905,0.047873892707980474,0.04796298843236502,0.048283601467225115,0.048228933927553126,0.048455586500721924
23,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.8333333333333334,0.8333333333333334,0.047880799119085014,0.048151817858191524,0.0479993897051652,0.04815333004884565,0.04825847591571385
24,0.11904761904761904,-0.023809523809523808,0.11904761904761904,0.6904761904761905,0.8333333333333334,0.04794071486107334,0.048113497879863604,0.04806727195735519,0.04820119145777175,0.04840820443030772
25,0.22857142857142854,-0.023809523809523808,0.6904761904761905,0.6904761904761905,0.8333333333333334,0.04803337910970446,0.04799233356402547,0.048375347356810997,0.048590619845113536,0.04852021835419699
26,0.11904761904761904,-0.023809523809523808,0.6904761904761905,0.6904761904761905,0.8333333333333334,0.047857169533141515,0.04788321530181199,0.04802270150760411,0.04826702058353553,0.048345861709382404
27,0.26190476190476186,-0.16666666666666666,0.6904761904761905,0.26190476190476186,0.8333333333333334,0.0478639969598281,0.047891248346024755,0.04834781459484362,0.048297634288174796,0.04845021617762232
28,0.11904761904761904,-0.023809523809523808,0.11904761904761904,0.6904761904761905,0.8333333333333334,0.04782869821545254,0.04793156320775921,0.04825876572050286,0.04853798640548784,0.04855986172541356
29,0.11904761904761904,-0.023809523809523808,0.11904761904761904,0.8333333333333334,0.8333333333333334,0.04805876942550519,0.04795759250618616,0.04789752561455673,0.04855614735397979,0.048630686082696925
30,0.11904761904761904,-0.023809523809523808,0.8333333333333334,0.6904761904761905,0.8333333333333334,0.047880927745192675,0.047932463288289325,0.04799779224009138,0.04849164312413092,0.04873102948095006
31,0.11904761904761904,-0.023809523809523808,0.8333333333333334,0.6904761904761905,0.8333333333333334,0.047966169133910545,0.047812732320601944,0.04813287105461994,0.04825200743317674,0.04838004489731265
32,0.11904761904761904,-0.023809523809523808,0.26190476190476186,0.6904761904761905,0.8333333333333334,0.0477712416513863,0.04809656224380402,0.04811336440176773,0.04839626922278617,0.04850501905136903
33,0.26190476190476186,-0.023809523809523808,0.6904761904761905,0.6904761904761905,0.8333333333333334,0.04789746784572611,0.04779194294585026,0.04804435305472853,0.04837133145675056,0.04840190445045715
34,-0.023809523809523808,-0.16666666666666666,0.11904761904761904,0.8333333333333334,0.8333333333333334,0.047853455535441035,0.048173943930899375,0.04819340006439187,0.04822842867077531,0.04860035046715048
35,-0.023809523809523808,-0.16666666666666666,0.26190476190476186,0.8333333333333334,0.8333333333333334,0.047752434708485975,0.047908478980265894,0.04825992049865924,0.048287052256845785,0.04871810941574229
36,-0.023809523809523808,0.11904761904761904,0.11904761904761904,0.6904761904761905,0.8333333333333334,0.04774816855684039,0.04850788493643779,0.04804589418470978,0.04805807194451182,0.048452893628491235
37,-0.16666666666666666,0.11904761904761904,0.6904761904761905,0.6904761904761905,0.8333333333333334,0.04779988436046443,0.04837492611994141,0.04827300225453322,0.04826384854290455,0.0484538272314777
38,0.11904761904761904,-0.16666666666666666,0.6904761904761905,0.6904761904761905,0.8333333333333334,0.04780834612063601,0.04801470215343175,0.04811409345664245,0.04840922839166347,0.048548837469793236
39,-0.023809523809523808,-0.023809523809523808,0.11904761904761904,0.6904761904761905,0.8333333333333334,0.04781835757865301,0.0479898294614051,0.04810674386842015,0.04860134564873262,0.04860715461597995
40,-0.023809523809523808,-0.023809523809523808,0.6904761904761905,0.6904761904761905,0.8333333333333334,0.04779601147748257,0.04816288022540988,0.0480795614965241,0.048173368593604,0.04871420773300801
41,-0.023809523809523808,0.11904761904761904,0.11904761904761904,0.8333333333333334,0.6904761904761905,0.047860943803334666,0.04823046194310291,0.04796365083593032,0.04840638373990693,0.048848962151725614
42,0.11904761904761904,-0.023809523809523808,0.11904761904761904,0.6904761904761905,0.8333333333333334,0.04781626206555765,0.04815029124721999,0.048089452833203296,0.04809011120904061,0.0486086281987946
43,0.11904761904761904,-0.16666666666666666,0.6904761904761905,0.8333333333333334,0.8333333333333334,0.04776918056180404,0.04790934271511282,0.048082247601564244,0.04842712497448873,0.0484167753112603
44,-0.023809523809523808,0.11904761904761904,0.11904761904761904,0.6904761904761905,0.8333333333333334,0.04781312910782144,0.048106879435682356,0.04814119464394182,0.048466116449973166,0.048534296147318516
45,-0.023809523809523808,-0.16666666666666666,0.11904761904761904,0.8333333333333334,0.8333333333333334,0.04799145623957752,0.04784558117631886,0.048085529988280806,0.04835501704632204,0.04860615666158322
46,-0.023809523809523808,-0.16666666666666666,0.26190476190476186,0.8333333333333334,0.8333333333333334,0.04781394163412146,0.04809032384030289,0.048064752040539185,0.048417198844481944,0.04831302190485811
47,-0.023809523809523808,-0.023809523809523808,0.11904761904761904,0.8333333333333334,0.8333333333333334,0.04765279614016778,0.048010390874130365,0.047937280152770344,0.04824949271352533,0.04852838988132592
48,0.26190476190476186,-0.023809523809523808,0.11904761904761904,0.8333333333333334,0.8333333333333334,0.047892350647134554,0.04794334675735055,0.04786577087949879,0.04806282317902337,0.048540404070205635
49,-0.023809523809523808,-0.023809523809523808,0.11904761904761904,0.40476190476190477,0.8333333333333334,0.048095745357515554,0.047925153863751346,0.04820802427184303,0.048175658790653574,0.04864914824247913
50,0.11904761904761904,-0.023809523809523808,0.6904761904761905,0.8333333333333334,0.11904761904761904,0.048011154844640774,0.048109466648887045,0.048301626264727546,0.048540578798851375,0.048207657452649294
51,-0.023809523809523808,-0.023809523809523808,0.6904761904761905,0.6904761904761905,0.8333333333333334,0.047829081379556354,0.047878430924144094,0.04813595418056275,0.04830178505092433,0.04826551416029614
52,0.11904761904761904,-0.023809523809523808,0.11904761904761904,0.26190476190476186,0.8333333333333334,0.04791824401276336,0.047866266312244735,0.0479996688824672,0.04854785972344203,0.04851706770614613
53,-0.023809523809523808,-0.023809523809523808,0.11904761904761904,0.8333333333333334,0.8333333333333334,0.04796431559892615,0.04813288241210915,0.0480638901926268,0.04820015970619489,0.04861628161797067
54,-0.16666666666666666,-0.16666666666666666,-0.023809523809523808,0.8333333333333334,0.8333333333333334,0.047794747569791365,0.048336512349821316,0.048058480782765325,0.048318786733087836,0.048816407026254366
